time,0-10,11-15,16-20,21-25,26-30,31-35,36-40,41-45,Grand Total
00:00:00,7,39,38,16,2,2,,2,106
01:00:00,8,18,22,13,1,1,,1,64
02:00:00,4,14,16,5,3,,,,42
03:00:00,5,4,14,3,1,,,,27
04:00:00,2,5,5,5,2,,,,19
05:00:00,2,2,7,6,3,,,,20
06:00:00,,3,5,6,3,,,,17
07:00:00,2,11,39,24,14,8,1,,99
08:00:00,20,60,144,72,19,5,,,320
09:00:00,30,101,163,82,19,6,,,401
10:00:00,31,81,165,63,7,2,,,349
11:00:00,30,63,99,42,10,,,,244
12:00:00,31,81,150,60,16,4,,,342
13:00:00,47,83,181,65,6,6,,,388
14:00:00,34,74,194,97,24,2,1,,426
15:00:00,23,101,190,110,26,5,,,455
16:00:00,42,125,309,192,50,3,,,721
17:00:00,35,177,393,179,32,3,,,819
18:00:00,61,262,376,175,23,3,1,,901
19:00:00,59,271,305,102,13,3,2,,755
20:00:00,39,167,219,80,11,1,3,1,521
21:00:00,23,117,110,55,12,1,,,318
22:00:00,13,38,70,28,5,4,,,158
23:00:00,24,43,40,11,4,,,,122
